Index,Text,Link
38,PM Modi inaugurates International Lawyer’s Conference in New Delhi ,https://ddnews.gov.in/national/pm-modi-inaugurates-international-lawyer%E2%80%99s-conference-new-delhi 
39,Presidential election in the Maldives approaches; concerns over spread of fake news ,https://ddnews.gov.in/international/presidential-election-maldives-approaches-concerns-over-spread-fake-news 
40,Luca Marini tops the clock in dramatic style as IndianOil Grand Prix of India kicks off,https://ddnews.gov.in/sports/luca-marini-tops-clock-dramatic-style-indianoil-grand-prix-india-kicks 
41,"EAM S Jaishankar to embark on US visit, will address UN general Assembly",https://ddnews.gov.in/international/eam-s-jaishankar-embark-us-visit-will-address-un-general-assembly 
42,Jal Jeevan Mission changing the picture of Bundelkhand and Vindhya region,https://ddnews.gov.in/national/jal-jeevan-mission-changing-picture-bundelkhand-and-vindhya-region 
43,Anurag Thakur cancels China visit for Asian Games after entry denied to Indian players,https://ddnews.gov.in/sports/anurag-thakur-cancels-china-visit-asian-games-after-entry-denied-indian-players 
44,PM Modi to inaugurate BCI’s 'International Lawyers Conference 2023’ On Sept 23,https://ddnews.gov.in/national/pm-modi-inaugurate-bci%E2%80%99s-international-lawyers-conference-2023%E2%80%99-sept-23 
45,Centre launches AI Chatbot aimed to provide seamless assistance and support to farmers,https://ddnews.gov.in/national/centre-launches-ai-chatbot-aimed-provide-seamless-assistance-and-support-farmers 
46,"India urges return to path of dialogue, diplomacy in Ukraine Crisis",https://ddnews.gov.in/international/india-urges-return-path-dialogue-diplomacy-ukraine-crisis 
47,Global attention to Rohingya's needs is rapidly diminishing: Sheikh Hasina,https://ddnews.gov.in/international/global-attention-rohingyas-needs-rapidly-diminishing-sheikh-hasina-0 
48,18 Indian Seafarers Stranded in Yemen Now Safe in Aden,https://ddnews.gov.in/international/18-indian-seafarers-stranded-yemen-now-safe-aden 
49,Global attention to Rohingya's needs is rapidly diminishing: Sheikh Hasina,https://ddnews.gov.in/international/global-attention-rohingyas-needs-rapidly-diminishing-sheikh-hasina 
50,4th edition of ‘Nadi Utsav’ to exhibit ‘Sanjhi’ based on 16 Ghats,https://ddnews.gov.in/national/4th-edition-%E2%80%98nadi-utsav%E2%80%99-exhibit-%E2%80%98sanjhi%E2%80%99-based-16-ghats 
51,UNGA 78: G4 Foreign Ministers advocate urgent UN Security Council reform,https://ddnews.gov.in/international/unga-78-g4-foreign-ministers-advocate-urgent-un-security-council-reform 
52,"After Lok Sabha, Rajya Sabha also passes Women's Reservation Bill",https://ddnews.gov.in/national/after-lok-sabha-rajya-sabha-also-passes-womens-reservation-bill 
53,"Middle East's Premier ‘Free From Food’ event wraps up, leaving a mark on the F&B industry",https://ddnews.gov.in/international/middle-easts-premier-%E2%80%98free-food%E2%80%99-event-wraps-leaving-mark-fb-industry 
54,Nepal Electricity Authority exports power worth over Rs 5.43 billion to India in two months  ,https://ddnews.gov.in/international/nepal-electricity-authority-exports-power-worth-over-rs-543-billion-india-two-months-%C2%A0 
55,Sri Lanka’s Transport and Highways ministry has signed a contract with India’s IRCON International Limited,https://ddnews.gov.in/international/sri-lanka%E2%80%99s-transport-and-highways-ministry-has-signed-contract-india%E2%80%99s-ircon 
